byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
A. O. Scott,0,11/2/2017 4:18,Once Upon a Time in Mexico,"Guitar in His Hand, Revenge in His Heart",Read the New York Times Review of Once Upon a Time in Mexico,article,http://www.nytimes.com/movie/review?res=940CE2D7133BF931A2575AC0A9659C8B63,R,,9/12/2003,9/12/2003,"The credits inform us that Robert Rodriguez, mastermind of the &quot;Spy Kids&quot; franchise, shot, chopped and scored this latest bloody, jokey folk ballad about a lone killer (Antonio Banderas) with soulful eyes and a lethal guitar. The digital video cinematography has unusual depth and luster, the action sequences are punchy and inventive, and the music is pretty good, too. Unfortunately, it seems as if the writing and directing, which Robert Rodriguez also did, were something of an afterthought. There are some witty moments, mostly courtesy of Johnny Depp, who plays a C.I.A. agent messing around in Mexico, and some high-impact many-gun salutes to the action auteurs Sergio Leone and John Woo. But the mood of tongue-in-cheek, romantic mayhem is spoiled by the picture's incoherence, and by its resort to appalling extremes of violence when nothing else is working. Salma Hayek appears only in flashback, as the hero's cruelly murdered true love. The present tense is devoted to an elaborate maze of double-crosses and vendettas involving a drug kingpin's attempt to overthrow the Mexican president — Scott","Antonio Banderas, Salma Hayek, Johnny Depp, Mickey Rourke",3 wins & 6 nominations.,55900000,USA,20-Jan-04,Robert Rodriguez,"Action, Thriller","English, Spanish",56,"In the third movie of Rodriguez's ""Mariachi"" trilogy, a Mexican drug lord pretends to overthrow the Mexican government, and is connected to a corrupt CIA agent who at that time, demands retribution from his worst enemy to carry out the drug lord's uprising against the government.",https://m.media-amazon.com/images/M/MV5BMTU5MDg5OTcwOV5BMl5BanBnXkFtZTcwMjI1MTIzMw@@._V1_SX300.jpg,Sony Pictures Releasing,R,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",12-Sep-03,TRUE,102 min,Once Upon a Time in Mexico,movie,http://www.sonypictures.com/movies/onceuponatimeinmexico/,Robert Rodriguez,2003,tt0285823,6.4,"141,485"
Stephen Holden,0,11/2/2017 4:18,The Order,When Eating Sin Just Loses Its Fascinating Allure,Read the New York Times Review of The Order,article,http://www.nytimes.com/movie/review?res=9A01E1D71E38F935A3575AC0A9659C8B63,R,,9/5/2003,9/6/2003,"This murky ecclesiastical horror film may be the nadir of the sub-genre that produced &quot;The Exorcist&quot; and &quot;Stigmata.&quot; Heath Ledger is a renegade Catholic priest chosen by a thousand-year-old Sin Eater (Benno Furmann) to be his replacement. Frequently impenetrable, the complete dud of a movie is so entranced by its own bogus solemnity that most of what passes for conversation is warped into the heavy-breathing style of kitsch prophesy. — Stephen Holden","Heath Ledger, Shannyn Sossamon, Benno Fürmann, Mark Addy",N/A,7536577,"USA, Germany",30-Dec-03,Brian Helgeland,"Horror, Mystery, Thriller","English, Syriac, Aramaic, Italian, Latin",21,"Alex Bernier (Ledger) is a member of an arcane order of priests known as Carolingians. When the head of the order dies, Alex is sent to Rome to investigate mysterious circumstances surrounding the death. The body bears strange marks on the chest which may or may not be the sign of a Sin Eater (Furmann), a renegade who offers absolution, last rites and therefore a path to heaven outside the jurisdiction of the church. Alex enlists the aid of his old comrade Father Thomas (Addy) and of a troubled artist (Sossamon) upon whom he once performed an exorcism. He soon finds himself plunged into a mystery only to find himself at the heart of it.",https://m.media-amazon.com/images/M/MV5BOTk5NDA5MzAzNV5BMl5BanBnXkFtZTYwNDk3Njk5._V1_SX300.jpg,20th Century Fox,R,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",5-Sep-03,TRUE,102 min,The Order,movie,http://theordermovie.com/,Brian Helgeland,2003,tt0304711,5.2,"15,960"
Stephen Holden,0,11/2/2017 4:18,Dickie Roberts: Former Child Star,An Actor Prepares With a Crash Course in Childhood,Read the New York Times Review of Dickie Roberts: Former Child Star,article,http://www.nytimes.com/movie/review?res=9B02E6DC1138F936A3575AC0A9659C8B63,PG-13,,9/5/2003,9/5/2003,"David Spade's newest comedy, although funnier than &quot;Joe Dirt&quot; or &quot;Lost and Found,&quot; strains mightily to have its cake and eat it too. One moment, the story of a 1970's TV child star desperate to make a comeback is a cheery, if puerile satire of  showbusiness, the next it's a pandering family comedy oozing saccharine platitudes. Mr. Spade is hardly a comic live wire (he's no Jim Carrey). But he gets some farcical mileage out of this ridiculous tale of a jaded 35-year-old show-business veteran who hires a  middle-class family to give him the childhood he never had. — Stephen Holden","David Spade, Mary McCormack, Craig Bierko, Scott Terra",1 win & 1 nomination.,22715908,USA,17-Feb-04,Sam Weisman,Comedy,English,36,"Once, he was on top of the world as a popular child actor on TV. Now, he's Hollywood's punchline about everything wrong with people who were famous as children. All Dickie Roberts wants to do is find that one gig that will restore his honor and everyone's love of him, so after learning that Rob Reiner's making an ambitious new movie destined to sweep the Oscars, Dickie's first in line to audition. He walks out having learned he certainly looks the part but can't act it... yet, owing to his very unusual childhood. To research the role, Dickie embarks on a bizarre scheme to live with a suburban family to see how the average American child lives, having them put him up as their ""son"". But once his gloves are off, Dickie discovers how great it is to be part of a true family, and whether he gets the part or not, his attempt at method acting will certainly change his life forever.",https://m.media-amazon.com/images/M/MV5BMTIxODcyODYwMF5BMl5BanBnXkFtZTYwNTcwMzM3._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",5-Sep-03,TRUE,98 min,Dickie Roberts: Former Child Star,movie,http://www.dickieroberts.com,"Fred Wolf, David Spade",2003,tt0325258,5.6,"12,632"
Stephen Holden,0,11/2/2017 4:18,Marci X,"In Giddy Rap Land, It's Senator vs. Smut",Read the New York Times Review of Marci X,article,http://www.nytimes.com/movie/review?res=9403EFD81739F930A1575BC0A9659C8B63,R,,8/22/2003,8/23/2003,"This flimsy sitcom about a foul-mounted rap star named Dr. S (Damon Wayans), a  crusading United States Senator (Christine Baranski) on the warpath against obscenity and the  spoiled daughter of the mogul who owns Dr. S's record company (Lisa Kudrow) doesn't know the meaning  of street credibility. Despite a charmingly goofy performance by Mr. Wayans and a  screenplay (by Paul Rudnick) that pokes fun at black and Jewish stereotypes, the movie  feels hopelessly out of date as well as terminally unhip. — Stephen Holden","Lisa Kudrow, Damon Wayans, Richard Benjamin, Jane Krakowski",4 nominations.,1528682,"Germany, USA",20-Jan-04,Richard Benjamin,"Comedy, Music",English,20,"While delivering an award to her humanitarian father Ben Feld, the stylish wealthy Jewish Caucasian Marci Feld is surprised by the attack of the conservative senator Mary Ellen Spinkle to her father in the media. The motive is the lyrics of the rap ""Shoot Ya' Teacha "" sing by Dr. S and released by the hip-hop record label Felony Assault that belongs to Ben. He has a heart attack, and his daughter decides to assume the problem and negotiate a public excuse of Dr. S in the MTV Award. However, the bad boy sings a polemic song on television to humiliate Merci that gives senator Sprinkle the chance to promote the ""Buttgate"".",https://m.media-amazon.com/images/M/MV5BMTc0MzA1ODg0M15BMl5BanBnXkFtZTYwNzUwNTM3._V1_SX300.jpg,Paramount Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '2.8/10'}",22-Aug-03,TRUE,84 min,Marci X,movie,http://www.marcix.com,Paul Rudnick,2003,tt0266747,2.8,"4,767"
Anita Gates,0,11/2/2017 4:18,Green Card Fever,Trying to Escape a Life of Disaster,Read the New York Times Review of Green Card Fever,article,http://www.nytimes.com/movie/review?res=9E05E7DE1739F931A1575BC0A9659C8B63,,,8/29/2003,8/22/2003,"In the  simplistic but amiable &quot;Green Card Fever,&quot; Murali (Vikram Dasu), a recent Indian immigrant,  will do anything to get his green card (now that his United States visa has expired), but everything goes wrong. His smooth Indian-American lawyer is condescending and overpriced. The man who claims to be working on the green card application is a cheat. And when Murali gets his first pay envelope from his first job,  there's nothing inside but a MetroCard. Luckily, a beautiful Americanized young woman (Purva Bedi) comes into his life, and eventually Murali has a chance to speak out against corruption. &#151; Anita Gates","Vikram Dasu, Purva Bedi, Deep Katdare, Chayton Arvin",N/A,67529,USA,29-Dec-03,Bala Rajasekharuni,"Comedy, Drama, Romance",English,31,"Green Card Fever is the story of a young man in the United States who overstays his visa in the pursuit of a ""Green Card"". He naively muddles through an underworld of illegal immigrants, ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNzU3NzYzNzI0OF5BMl5BanBnXkFtZTcwNzQzMDUyMQ@@._V1_SX300.jpg,Net Effect Media,N/A,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",29-Aug-03,TRUE,100 min,Green Card Fever,movie,http://www.greencardfever.com,Bala Rajasekharuni,2003,tt0292527,5.8,174
Dave Kehr,0,11/2/2017 4:18,The Medallion,A Martial Artist in Search of a Talisman,Read the New York Times Review of The Medallion,article,http://www.nytimes.com/movie/review?res=9C03E5DE1639F931A1575BC0A9659C8B63,PG-13,,8/22/2003,8/22/2003,"Jackie Chan plays a Hong Kong police inspector who travels to Ireland in search of the title object, a  talisman that confers infinite strength and immortality on its possessor.  It has been snatched by the international villain Snakehead (Julian Sands, in a highly campy performance), along with the cute little boy (Alexander Bao) who is its rightful possessor.  Mr. Chan is helped in is quest by a British supporting cast:  the Interpol agents Claire Forlani, Lee Evans and John Rhys-Davies.  A Hong Kong production filmed in English by the veteran Hong Kong director Gordon Chan (&quot;Fist of Legend&quot;), &quot;The Medallion&quot; is aimed at an international public but still retains some Hong Kong street credibility, thanks largely to the expert action sequences staged by Sammo Hung. But as soon as the medallion appears, so do the digital maneuverings — speeded-up movement, composite images, objects and people that morph into supernatural thingamajigs —  that undercut the genuine thrills of the genuine action. — Dave Kehr","Jackie Chan, Lee Evans, Claire Forlani, Julian Sands",2 nominations.,21963412,"Hong Kong, USA",23-Dec-03,Gordon Chan,"Action, Comedy, Fantasy",English,38,"Eddie, an indomitable Hong Kong cop, is transformed into an immortal warrior with superhuman powers after a fatal accident involving a mysterious medallion. Eddie enlists the help of British Interpol agent Nicole to determine the secret of the medallion and face down the evil Snakehead who wants to use its magical powers for his own nefarious plans.",https://m.media-amazon.com/images/M/MV5BMjE4OTk1NTEwNl5BMl5BanBnXkFtZTYwMTA1MDE3._V1_SX300.jpg,Columbia Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",22-Aug-03,TRUE,88 min,The Medallion,movie,http://www.GetTheMedallion.com,"Alfred Cheung (story and original characters), Bennett Davlin, Alfred Cheung, Gordon Chan, Paul Wheeler, Bey Logan",2003,tt0288045,5.2,"34,208"
Elvis Mitchell,1,11/2/2017 4:18,Thirteen,"Trading Barbie for Drugs, Sex and Halter Tops",Read the New York Times Review of Thirteen,article,http://www.nytimes.com/movie/review?res=9D03E6DB1130F933A1575BC0A9659C8B63,R,,9/19/2003,8/20/2003,"The panic in the eyes of Tracy (Evan Rachel Wood), the barely teenaged protagonist of &quot;Thirteen,&quot; will stay with you for a very long time. &quot;Thirteen&quot; treats Tracy's behavior as a fever dream, something viral. This disease eating up her empathy and decency is what she picked up from the effortlessly cool Evie (Nikki Reed), who crashes into Tracy's life and plucks her from an existence of age-appropriate fixations like Barbie dolls. Evie, with the physical confidence of a much older girl, knows exactly how to devastate Tracy; she breezily drops hints that she thinks her new friend is immature. As Evie takes Tracy under her broken wing to remake her, we feel we're watching the protagonist of &quot;Thirteen&quot; undergo the initiations of a new tribe.  The closest  the film comes to a narrative is in following its young central figure straying into sex, drugs and alienation and her sudden detachment from her struggling single mother, Melanie (Holly  Hunter). What we recognize from the stricken look in Melanie's face is the same panic in Tracy's eyes — it's something mother and daughter share, and Ms. Hunter wills this spiritual match-up into existence. The movie has the ebb and flow that comes from material structured as a series of anecdotes —  it doesn't build, and sometimes it feels as cluttered as a 13-year-old's bedroom. But that may be a byproduct of Catherine Hardwicke's attempt to layer incidents that are as far as possible from the weary set of clichés that inform pictures about teens. Ms. Hardwicke, making her directorial debut, works from a screenplay she authored with Ms. Reed, shaped around autobiographical elements from the actress's own life. Usually, the protagonist is the bystander — in &quot;Thirteen,&quot; she's the fuse. — Elvis Mitchell","Nikki Reed, Evan Rachel Wood, Vanessa Hudgens, Holly Hunter",Nominated for 1 Oscar. Another 14 wins & 48 nominations.,4500238,"USA, UK",27-Jan-04,Catherine Hardwicke,Drama,"English, Spanish, Portuguese",70,"At the edge of adolescence, Tracy is a smart straight-A student--if not a little naive (it seems...she smokes and she cuts to alleviate the emotional pain she suffers from having a broken home and hating her mom's boyfriend, Brady.) When she befriends Evie, the most popular and beautiful girl in school, Evie leads Tracy down a path of sex, drugs and petty crime (like stealing money from purses and from stores). As Tracy transforms herself and her identity, her world becomes a boiling, emotional cauldron fueled by new tensions between her and her mother--as well as, teachers and old friends.",https://m.media-amazon.com/images/M/MV5BMTYzNDYxNzY2MF5BMl5BanBnXkFtZTYwNzk2NTc3._V1_SX300.jpg,Fox Searchlight Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",19-Sep-03,TRUE,100 min,Thirteen,movie,http://www.apple.com/trailers/fox_searchlight/thirteen/,"Catherine Hardwicke, Nikki Reed",2003,tt0328538,6.8,"74,253"
Elvis Mitchell,1,11/2/2017 4:18,American Splendor,"A Comics Guy, Outside the Box",Read the New York Times Review of American Splendor,article,http://www.nytimes.com/movie/review?res=9903E1D71630F936A2575BC0A9659C8B63,,,9/12/2003,8/15/2003,"&quot;From off the streets of Cleveland comes 'American Splendor,' &quot; screams the cover of every issue of the writer Harvey Pekar's surly and open-eyed autobiographical comic series. The towering, action-packed logo is a further sardonic comment on the lack of activity in the protagonist's life. There's as much at stake in this hilarious, moody and cantankerous film adaptation of &quot;Splendor&quot; as there was in this summer's other movies of comics anti-heroes like &quot;The Hulk&quot; and &quot;The League of Extraordinary Gentlemen.&quot; Harvey is extraordinary — by the way, so is this movie. As played by Paul Giamatti, Harvey's a gray wad of anger that spends his time in his cave-like apartment, with shelves sagging under the weight of his collection of record albums and jazz 78's. And sputtering to his equally powerless pals about a world that he refuses to understand. Slumped into a posture that's a question mark with a pot-belly, Mr. Giamatti's a frustrated tremor, shaking and gesticulating futilely. The filmmakers use the real Mr. Pekar as a narrator initially. For a time, the film cuts to the real-life Pekar, fulminating onscreen with his friends against a stark-white background. This sounds like a mocking, distancing device — and in the wrong hands, it would be. But the real-life Pekar is as vivid in his way as Mr. Giamatti. The actual Pekaris a flinty crank spouting while the actors portraying figures from the streets of Cleveland chuckle in disbelief at him and his obsessive, nerdy friends, like Toby (played in the film with breath-taking precision by Judah Friedlander). The great cast also includes Earl Billings as Mr. Boats, one of Harvey bellicose, small-minded and larger-than-life co-workers, and Danny Hoch. Harvey's romantic match, Joyce Brabner, is played with a tart, intriguing directness by Hope Davis that's equal parts Emma Goldman and Olive Oyl —  that is, the Olive Oyl of the comics, not the screaming helpless No. 2 pencil of the cartoons. And the picture becomes something richer and fuller when Joyce enters the film. Harvey has someone to square off with, and her eccentricities complement his. — Elvis Mitchell","Chris Ambrose, Joey Krajcar, Josh Hutcherson, Cameron Carter",Nominated for 1 Oscar. Another 31 wins & 49 nominations.,5977550,USA,3-Feb-04,"Shari Springer Berman, Robert Pulcini","Biography, Comedy, Drama",English,90,"Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his American Splendor a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature.",https://m.media-amazon.com/images/M/MV5BMjA0MjYxNjY1MV5BMl5BanBnXkFtZTcwNDkwMjAwMQ@@._V1_SX300.jpg,Fine Line Features,R,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",12-Sep-03,TRUE,101 min,American Splendor,movie,http://www.americansplendormovie.com/main.html,"Harvey Pekar (comic book series American Splendor), Joyce Brabner (comic book series Our Cancer Year), Shari Springer Berman, Robert Pulcini",2003,tt0305206,7.5,"44,800"
Elvis Mitchell,0,11/2/2017 4:18,Freddy vs. Jason,Ol' Razor Fingers vs. Ol' Hockey Face,Read the New York Times Review of Freddy vs. Jason,article,http://www.nytimes.com/movie/review?res=9904EFD61630F936A2575BC0A9659C8B63,R,,8/15/2003,8/15/2003,"The mildewed, rusted aroma that archaeologists get when opening a tomb is the same odor that will hit the nostrils of moviegoers attending this horror grudge-match torn from yesterday's screaming headlines. The movie, which pits Freddy Krueger against Jason Voorhees, is far more horrible than horrifying. The only way that &quot;Freddy vs. Jason&quot; might really be any fun is if these two avengers from beyond the grave decided to team up and go after the cast of  &quot;American Wedding.&quot; This dumb, only intermittently — sometimes even intentionally — funny sequel asks the question that since almost everything else from the 1980's has come back, why not the cynosures of the &quot;Nightmare on Elm Street&quot; series and the &quot;Friday the 13th&quot; movies. But people are also nostalgic for the world of four television networks, Macaulay Culkin and anti-trust legislation, too  — that doesn't mean they're coming back. The smirky sauciness of Kreuger (Robert Englund) at least gives audiences something to root for, or against. The real problem is that Jason is a nobody whose face has been hidden from view for 20 years. There probably won't be a sequel to &quot;Freddy vs. Jason&quot; — a concept that first surfaced over a decade ago, when both franchises had a trace of, well, blood, left. But if there is a next one, maybe they can get a make-over from the Fab Five of &quot;Queer Eye for the Straight Guy&quot;; both Freddy and Jason are so last century. — Elvis Mitchell","Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter",2 wins & 10 nominations.,82200000,"USA, Canada, Italy",13-Jan-04,Ronny Yu,"Action, Horror",English,37,"It's been nearly ten years since Freddy Krueger terrorized people in the dreams, and the towns folk want to keep him erased from their memory. Freddy still has one more plan on getting back to Elm Street. He resurrects Jason Voorhees and sends him off to kill. The more bodies which fall to the ground, the stronger in which Freddy becomes. This is until, Freddy realizes that Jason isn't going to step aside easily, and must be taken down himself.",https://m.media-amazon.com/images/M/MV5BODNlNWVjOTMtZjVjYy00MzRjLTg2MmQtNTM3MWVmZjFjYzgwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,New Line Cinema,R,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",15-Aug-03,TRUE,97 min,Freddy vs. Jason,movie,http://www.freddyvsjason.com/,"Wes Craven (characters), Victor Miller (characters), Damian Shannon, Mark Swift",2003,tt0329101,5.8,"99,781"
A. O. Scott,0,11/2/2017 4:18,Open Range,Good and Evil Shoot It Out,Read the New York Times Review of Open Range,article,http://www.nytimes.com/movie/review?res=9F02E1D71630F936A2575BC0A9659C8B63,R,,8/15/2003,8/15/2003,"A group of free-grazing cattlemen is attacked by the minions of an evil rancher (Michael Gambon) and rides into town to take revenge. Kevin Costner, directing with his usual root-canal humorlessness, is aiming for the stark, mythic grandeur of the old westerns, but &quot;Open Range&quot; succeeds only in feeling simplistic and puffed up. As an actor in other people's movies, Mr. Costner is at his best when he unleashes his raffish, reckless charm, letting the good man and the bad boy duke it out for pre-eminence. Under his own direction, though, his self-regarding piety always wins. Every pause, every gesture, every grimace is fraught with significance, so that even his cowboy reticence comes to seem like shameless showboating. Annette Bening's performance, unfortunately, is well matched to Mr. Costner's; if the two of them were any more upstanding they'd be trees. Some of the supporting actors, notably Robert Duvall and Michael Jeter, throw off a few sparks of levity, but neither they nor the well-executed final shootout can prevent the movie from suffocating in its earnest self-seriousness. — A. O. Scott","Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon",1 win & 4 nominations.,58260046,USA,20-Jan-04,Kevin Costner,"Action, Drama, Romance",English,67,"Boss Spearman, Charley Waite, Mose Harrison and Button freegraze their cattle across the vast prairies of the West, sharing a friendship forged by a steadfast code of honor and living a life unencumbered by civilization. When their wayward herd forces them near the small town of Harmonville, the cowboys encounter a corrupt sheriff and kingpin rancher who govern the territory through fear, tyranny and violence. Boss and Charley find themselves inextricably drawn towards an inevitable showdown, as they are forced to defend the freedom and values of a lifestyle that is all too quickly vanishing. Amidst the turmoil, life suddenly takes an unexpected turn for the loner Charley when he meets the beautiful and warm spirited Sue Barlow, a woman who embraces both his heart and his soul.",https://m.media-amazon.com/images/M/MV5BMTYyNjA4NTY3N15BMl5BanBnXkFtZTYwNjc0MDM3._V1_SX300.jpg,Buena Vista Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",15-Aug-03,TRUE,139 min,Open Range,movie,http://openrange.movies.go.com,"Lauran Paine (novel), Craig Storper (screenplay)",2003,tt0316356,7.5,"60,158"
Stephen Holden,0,11/2/2017 4:18,Uptown Girls,Down on Her Guccis but With a Heart of Platinum,Read the New York Times Review of Uptown Girls,article,http://www.nytimes.com/movie/review?res=9B07E5D81630F936A2575BC0A9659C8B63,PG-13,,8/15/2003,8/15/2003,"This rhinestone-crusted comic fantasy is true to its niche  market, the burgeoning Junior Miss genre that might be called Princess because of its  fawning adoration of overprivileged young bachelorettes and the luxuries their credit  cards can fetch. Its bratty 22-year-old heroine (a charmless Brittany Murphy) is the orphaned  daughter of rock royalty who lives in Manhattan in palatial squalor with her pet pig, Moo.   In this standard variation of the princess myth, it takes a humbling fall from grace for  Molly to gain a smidgen of soul and a glimpse of happily ever after. Forced to work as a  nanny, she achieves a saccharine redemption with the help of her charge, a stern, orderly  8-year-old girl (Dakota Fanning), whom she in turn helps softed. While pretending to  teach a lesson in compassion, the movie wallows in the perks of privilege. — Stephen Holden","Brittany Murphy, Dakota Fanning, Marley Shelton, Donald Faison",1 nomination.,36922190,USA,6-Jan-04,Boaz Yakin,"Comedy, Drama, Romance",English,33,"Molly Gunn, the freewheeling daughter of a deceased rock legend, is forced to get a job when her manager steals her money. As nanny for precocious Ray, the oft ignored daughter of a music executive, she learns what it means to be an adult while teaching Ray how to be a child.",https://m.media-amazon.com/images/M/MV5BODk0ODI2MTk1N15BMl5BanBnXkFtZTcwODg3Mjg3NA@@._V1_SX300.jpg,Metro-Goldwyn-Mayer,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",15-Aug-03,TRUE,92 min,Uptown Girls,movie,http://www.mgm.com/uptowngirls,"Julia Dahl (screenplay), Mo Ogrodnik (screenplay), Lisa Davidowitz (screenplay), Allison Jacobs (story)",2003,tt0263757,6.1,"32,097"
Dave Kehr,0,11/2/2017 4:18,Step Into Liquid,"Hanging 10, From Surf to Sheboygan",Read the New York Times Review of Step Into Liquid,article,http://www.nytimes.com/movie/review?res=9C03E0D91731F93BA3575BC0A9659C8B63,PG,,8/29/2003,8/8/2003,"With this surfing documentary, Dana Brown takes over the family business.  His father is Bruce Brown, whose 1966 &quot;The Endless Summer&quot; became one of the most successful documentaries of all time, as it followed a group of clean-cut surfing champions on a world tour.  The younger Mr. Brown was the co-writer and an associate producer on &quot;The Endless Summer II,&quot; a sequel released in 1994; with &quot;Step Into Liquid,&quot; he assumes the entire process, which includes writing, edited and delivering the casual, conversational narration that the senior Mr. Brown made a trademark of his films.  With its astounding views of angry seascapes, its handsome young men (and a few women) poised atop 10-foot waves with the serenity and aplomb of an equestrian statue in Central Park, nonstop soundtrack of old and new surfing songs (Richard Gibbs contributed an original score as well) and a pervasive philosophy that views life as fun and self-fulfillment as the highest good, what is there not to like? — Dave Kehr","Robert August, Rochelle Ballard, Shawn Barron, Layne Beachley",2 nominations.,3640512,USA,20-Apr-04,Dana Brown,"Documentary, Sport",English,72,Surfers and secret spots from around the world are profiled in this documentary.,https://ia.media-imdb.com/images/M/MV5BZDNkZjRhMDItZTAzYi00MWQ2LTg2YzUtNzVhYTUzMzExMGE1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Artisan Entertainment,PG,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",29-Aug-03,TRUE,88 min,Step Into Liquid,movie,http://www.stepintoliquid.com/,Dana Brown,2003,tt0308508,7.5,"2,439"
Elvis Mitchell,0,11/2/2017 4:18,S.W.A.T.,Working Up a S.W.E.A.T.,Read the New York Times Review of S.W.A.T.,article,http://www.nytimes.com/movie/review?res=9A0DE1D81731F93BA3575BC0A9659C8B63,PG-13,,8/8/2003,8/8/2003,"This feature film version of the 1970's cop show preserves the most memorable thing about the old television series: Barry DeVorzon's wah-wah crackle theme song. Unfortunately Clark Johnson and a battery of writers have also retained the punitive monotony and barely coherent narrative thinness of the old show as well: it evokes the feeling of wasting a rainy Saturday afternoon. The foreign crime boss Alex Martel (Olivier Martinez) is about to be extradited after leaving a trail of corpses and misery. Following a failed jailbreak —  after which Martel inexplicably gets to speak to the television cameras —  he offers &quot;one hundred million dollars to whoever gets me out to here.&quot; And law and order in Los Angeles suddenly evaporates, with all of the city's thugs, gang-bangers and semi-employed, dangerous-looking actors marshalling their forces to spring Martel. An elite S.W.A.T. team has to transport this prisoner to either a federal pen, the airport or another film remake of an old Aaron Spelling television show. The S.W.A.T. team members —  LL Cool J, Michelle Rodriguez, Josh Charles and Brian Van Holt —  are so gung ho that in any other city they'd be subjected to steroid testing. Samuel L. Jackson plays the absurdly named team leader Hondo —  it comes from the old show —  with the Rhythm-Heritage confidence that burbles like the old-school funk of Mr. DeVorzon's theme. And Colin Farrell, employing a wobbly American accent that makes him sound like an international criminal a step ahead of the authorities, stars as the S.W.A.T. officer Jim Street. Much of the by-the-yard martial choreography is strictly by-the-book, as Hondo's martinet captain might say. Mr. Johnson almost seems to be rejecting the fascist politics of the premise, and his discomfort is palpable, like Danny Glover's slight hesitations in the &quot;Lethal Weapon&quot; movies. — Elvis Mitchell","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J",5 wins & 5 nominations.,116643346,USA,30-Dec-03,Clark Johnson,"Action, Adventure, Crime, Thriller","English, Spanish, French",45,"Based off of a one time T.V. show, two Los Angeles S.W.A.T. officers Jim Street and Brian Gamble were sent in to foil an extremely violent bank robbery. Although they thwarted the robbery, they shot a hostage in the process. Street was suspended from S.W.A.T. while Gamble was fired altogether. After 6 months, a veteran S.W.A.T. officer, Daniel Harrelson or ""Hondo"", is told to assemble a S.W.A.T. team for his division. He chooses other S.W.A.T. officers as well as 3 rookies. However, after they pass the S.W.A.T. training, they receive a message that a French crime boss, known as Alex Montell is trying to escape from prison. This will not be easy to prevent, especially after Montell promises $100 Million to his rescuers.",https://m.media-amazon.com/images/M/MV5BNmIxYTVmMDEtNWU5NS00MWJhLWJjNmQtNjkxNWI3NmY4MzJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",8-Aug-03,TRUE,117 min,S.W.A.T.,movie,http://www.sony.com/swat,"Robert Hamner (characters), Ron Mita (story), Jim McClain (story), David Ayer (screenplay), David McKenna (screenplay)",2003,tt0257076,6,"129,068"
